SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Equivalencia unidades bodega,Unidad,Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
SCLPEKMEL,Reserva vuelo con escala SCLPEKMEL,Reserva de vuelo entre SCL y MEL con escala en PEK. Requiere un vuelo SCLPEK y un vuelo PEKMEL,2528,2,16,1,-,1,25,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
SCLPEKFEZ,Reserva vuelo con escala SCLPEKFEZ,Reserva de vuelo entre SCL y FEZ con escala en PEK. Requiere un vuelo SCLPEK y un vuelo PEKFEZ,2598,2,15,1,-,1,25,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
SCLFEZIAD,Reserva vuelo con escala SCLFEZIAD,Reserva de vuelo entre SCL y IAD con escala en FEZ. Requiere un vuelo SCLFEZ y un vuelo FEZIAD,1483,2,24,1,-,1,14,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
SCLFEZCDG,Reserva vuelo con escala SCLFEZCDG,Reserva de vuelo entre SCL y CDG con escala en FEZ. Requiere un vuelo SCLFEZ y un vuelo FEZCDG,1072,2,64,1,-,1,10,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
SCLFEZMEL,Reserva vuelo con escala SCLFEZMEL,Reserva de vuelo entre SCL y MEL con escala en FEZ. Requiere un vuelo SCLFEZ y un vuelo FEZMEL,2467,2,14,1,-,1,24,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
SCLFEZPEK,Reserva vuelo con escala SCLFEZPEK,Reserva de vuelo entre SCL y PEK con escala en FEZ. Requiere un vuelo SCLFEZ y un vuelo FEZPEK,1799,2,19,1,-,1,17,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
IADSCLCDG,Reserva vuelo con escala IADSCLCDG,Reserva de vuelo entre IAD y CDG con escala en SCL. Requiere un vuelo IADSCL y un vuelo SCLCDG,1771,2,20,1,-,1,17,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
IADSCLMEL,Reserva vuelo con escala IADSCLMEL,Reserva de vuelo entre IAD y MEL con escala en SCL. Requiere un vuelo IADSCL y un vuelo SCLMEL,1741,2,20,1,-,1,17,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
IADSCLPEK,Reserva vuelo con escala IADSCLPEK,Reserva de vuelo entre IAD y PEK con escala en SCL. Requiere un vuelo IADSCL y un vuelo SCLPEK,2434,2,17,1,-,1,24,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
IADSCLFEZ,Reserva vuelo con escala IADSCLFEZ,Reserva de vuelo entre IAD y FEZ con escala en SCL. Requiere un vuelo IADSCL y un vuelo SCLFEZ,1635,2,21,1,-,1,16,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
IADCDGSCL,Reserva vuelo con escala IADCDGSCL,Reserva de vuelo entre IAD y SCL con escala en CDG. Requiere un vuelo IADCDG y un vuelo CDGSCL,1607,2,24,1,-,1,15,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADCDGMEL,Reserva vuelo con escala IADCDGMEL,Reserva de vuelo entre IAD y MEL con escala en CDG. Requiere un vuelo IADCDG y un vuelo CDGMEL,2066,2,21,1,-,1,20,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADCDGPEK,Reserva vuelo con escala IADCDGPEK,Reserva de vuelo entre IAD y PEK con escala en CDG. Requiere un vuelo IADCDG y un vuelo CDGPEK,1298,2,28,1,-,1,12,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
IADCDGFEZ,Reserva vuelo con escala IADCDGFEZ,Reserva de vuelo entre IAD y FEZ con escala en CDG. Requiere un vuelo IADCDG y un vuelo CDGFEZ,719,2,71,1,-,1,6,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
IADMELSCL,Reserva vuelo con escala IADMELSCL,Reserva de vuelo entre IAD y SCL con escala en MEL. Requiere un vuelo IADMEL y un vuelo MELSCL,2489,2,14,1,-,1,24,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
IADMELCDG,Reserva vuelo con escala IADMELCDG,Reserva de vuelo entre IAD y CDG con escala en MEL. Requiere un vuelo IADMEL y un vuelo MELCDG,2978,2,11,1,-,1,29,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
IADMELPEK,Reserva vuelo con escala IADMELPEK,Reserva de vuelo entre IAD y PEK con escala en MEL. Requiere un vuelo IADMEL y un vuelo MELPEK,2288,2,17,1,-,1,22,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
IADMELFEZ,Reserva vuelo con escala IADMELFEZ,Reserva de vuelo entre IAD y FEZ con escala en MEL. Requiere un vuelo IADMEL y un vuelo MELFEZ,3026,2,11,1,-,1,29,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
IADPEKSCL,Reserva vuelo con escala IADPEKSCL,Reserva de vuelo entre IAD y SCL con escala en PEK. Requiere un vuelo IADPEK y un vuelo PEKSCL,2713,2,13,1,-,1,27,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADPEKCDG,Reserva vuelo con escala IADPEKCDG,Reserva de vuelo entre IAD y CDG con escala en PEK. Requiere un vuelo IADPEK y un vuelo PEKCDG,1741,2,20,1,-,1,17,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
IADPEKMEL,Reserva vuelo con escala IADPEKMEL,Reserva de vuelo entre IAD y MEL con escala en PEK. Requiere un vuelo IADPEK y un vuelo PEKMEL,1819,2,19,1,-,1,18,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADPEKFEZ,Reserva vuelo con escala IADPEKFEZ,Reserva de vuelo entre IAD y FEZ con escala en PEK. Requiere un vuelo IADPEK y un vuelo PEKFEZ,1889,2,18,1,-,1,18,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
IADFEZSCL,Reserva vuelo con escala IADFEZSCL,Reserva de vuelo entre IAD y SCL con escala en FEZ. Requiere un vuelo IADFEZ y un vuelo FEZSCL,1483,2,24,1,-,1,14,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADFEZCDG,Reserva vuelo con escala IADFEZCDG,Reserva de vuelo entre IAD y CDG con escala en FEZ. Requiere un vuelo IADFEZ y un vuelo FEZCDG,731,2,70,1,-,1,6,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
IADFEZMEL,Reserva vuelo con escala IADFEZMEL,Reserva de vuelo entre IAD y MEL con escala en FEZ. Requiere un vuelo IADFEZ y un vuelo FEZMEL,2126,2,20,1,-,1,20,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
IADFEZPEK,Reserva vuelo con escala IADFEZPEK,Reserva de vuelo entre IAD y PEK con escala en FEZ. Requiere un vuelo IADFEZ y un vuelo FEZPEK,1458,2,25,1,-,1,13,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
CDGSCLIAD,Reserva vuelo con escala CDGSCLIAD,Reserva de vuelo entre CDG y IAD con escala en SCL. Requiere un vuelo CDGSCL y un vuelo SCLIAD,1771,2,20,1,-,1,17,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
CDGSCLMEL,Reserva vuelo con escala CDGSCLMEL,Reserva de vuelo entre CDG y MEL con escala en SCL. Requiere un vuelo CDGSCL y un vuelo SCLMEL,2066,2,16,1,-,1,20,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
CDGSCLPEK,Reserva vuelo con escala CDGSCLPEK,Reserva de vuelo entre CDG y PEK con escala en SCL. Requiere un vuelo CDGSCL y un vuelo SCLPEK,2759,2,13,1,-,1,27,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
CDGSCLFEZ,Reserva vuelo con escala CDGSCLFEZ,Reserva de vuelo entre CDG y FEZ con escala en SCL. Requiere un vuelo CDGSCL y un vuelo SCLFEZ,1960,2,17,1,-,1,19,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
CDGIADSCL,Reserva vuelo con escala CDGIADSCL,Reserva de vuelo entre CDG y SCL con escala en IAD. Requiere un vuelo CDGIAD y un vuelo IADSCL,1282,2,28,1,-,1,12,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGIADMEL,Reserva vuelo con escala CDGIADMEL,Reserva de vuelo entre CDG y MEL con escala en IAD. Requiere un vuelo CDGIAD y un vuelo IADMEL,2030,2,22,1,-,1,19,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGIADPEK,Reserva vuelo con escala CDGIADPEK,Reserva de vuelo entre CDG y PEK con escala en IAD. Requiere un vuelo CDGIAD y un vuelo IADPEK,1561,2,24,1,-,1,15,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
CDGIADFEZ,Reserva vuelo con escala CDGIADFEZ,Reserva de vuelo entre CDG y FEZ con escala en IAD. Requiere un vuelo CDGIAD y un vuelo IADFEZ,1130,2,31,1,-,1,10,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
CDGMELSCL,Reserva vuelo con escala CDGMELSCL,Reserva de vuelo entre CDG y SCL con escala en MEL. Requiere un vuelo CDGMEL y un vuelo MELSCL,2525,2,13,1,-,1,25,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
CDGMELIAD,Reserva vuelo con escala CDGMELIAD,Reserva de vuelo entre CDG y IAD con escala en MEL. Requiere un vuelo CDGMEL y un vuelo MELIAD,2978,2,11,1,-,1,29,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
CDGMELPEK,Reserva vuelo con escala CDGMELPEK,Reserva de vuelo entre CDG y PEK con escala en MEL. Requiere un vuelo CDGMEL y un vuelo MELPEK,2324,2,16,1,-,1,23,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
CDGMELFEZ,Reserva vuelo con escala CDGMELFEZ,Reserva de vuelo entre CDG y FEZ con escala en MEL. Requiere un vuelo CDGMEL y un vuelo MELFEZ,3062,2,10,1,-,1,30,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
CDGPEKSCL,Reserva vuelo con escala CDGPEKSCL,Reserva de vuelo entre CDG y SCL con escala en PEK. Requiere un vuelo CDGPEK y un vuelo PEKSCL,2450,2,17,1,-,1,24,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGPEKIAD,Reserva vuelo con escala CDGPEKIAD,Reserva de vuelo entre CDG y IAD con escala en PEK. Requiere un vuelo CDGPEK y un vuelo PEKIAD,1741,2,20,1,-,1,17,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
CDGPEKMEL,Reserva vuelo con escala CDGPEKMEL,Reserva de vuelo entre CDG y MEL con escala en PEK. Requiere un vuelo CDGPEK y un vuelo PEKMEL,1556,2,23,1,-,1,15,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGPEKFEZ,Reserva vuelo con escala CDGPEKFEZ,Reserva de vuelo entre CDG y FEZ con escala en PEK. Requiere un vuelo CDGPEK y un vuelo PEKFEZ,1626,2,22,1,-,1,15,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
CDGFEZSCL,Reserva vuelo con escala CDGFEZSCL,Reserva de vuelo entre CDG y SCL con escala en FEZ. Requiere un vuelo CDGFEZ y un vuelo FEZSCL,1072,2,64,1,-,1,10,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGFEZIAD,Reserva vuelo con escala CDGFEZIAD,Reserva de vuelo entre CDG y IAD con escala en FEZ. Requiere un vuelo CDGFEZ y un vuelo FEZIAD,731,2,70,1,-,1,6,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
CDGFEZMEL,Reserva vuelo con escala CDGFEZMEL,Reserva de vuelo entre CDG y MEL con escala en FEZ. Requiere un vuelo CDGFEZ y un vuelo FEZMEL,1715,2,60,1,-,1,16,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
CDGFEZPEK,Reserva vuelo con escala CDGFEZPEK,Reserva de vuelo entre CDG y PEK con escala en FEZ. Requiere un vuelo CDGFEZ y un vuelo FEZPEK,1047,2,65,1,-,1,9,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
MELSCLIAD,Reserva vuelo con escala MELSCLIAD,Reserva de vuelo entre MEL y IAD con escala en SCL. Requiere un vuelo MELSCL y un vuelo SCLIAD,1741,2,20,1,-,1,17,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
MELSCLCDG,Reserva vuelo con escala MELSCLCDG,Reserva de vuelo entre MEL y CDG con escala en SCL. Requiere un vuelo MELSCL y un vuelo SCLCDG,2066,2,16,1,-,1,20,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
MELSCLPEK,Reserva vuelo con escala MELSCLPEK,Reserva de vuelo entre MEL y PEK con escala en SCL. Requiere un vuelo MELSCL y un vuelo SCLPEK,2729,2,13,1,-,1,27,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
MELSCLFEZ,Reserva vuelo con escala MELSCLFEZ,Reserva de vuelo entre MEL y FEZ con escala en SCL. Requiere un vuelo MELSCL y un vuelo SCLFEZ,1930,2,17,1,-,1,19,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
MELIADSCL,Reserva vuelo con escala MELIADSCL,Reserva de vuelo entre MEL y SCL con escala en IAD. Requiere un vuelo MELIAD y un vuelo IADSCL,2194,2,18,1,-,1,21,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
MELIADCDG,Reserva vuelo con escala MELIADCDG,Reserva de vuelo entre MEL y CDG con escala en IAD. Requiere un vuelo MELIAD y un vuelo IADCDG,2030,2,22,1,-,1,19,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
MELIADPEK,Reserva vuelo con escala MELIADPEK,Reserva de vuelo entre MEL y PEK con escala en IAD. Requiere un vuelo MELIAD y un vuelo IADPEK,2473,2,14,1,-,1,24,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
MELIADFEZ,Reserva vuelo con escala MELIADFEZ,Reserva de vuelo entre MEL y FEZ con escala en IAD. Requiere un vuelo MELIAD y un vuelo IADFEZ,2042,2,21,1,-,1,19,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
MELCDGSCL,Reserva vuelo con escala MELCDGSCL,Reserva de vuelo entre MEL y SCL con escala en CDG. Requiere un vuelo MELCDG y un vuelo CDGSCL,2555,2,13,1,-,1,25,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
MELCDGIAD,Reserva vuelo con escala MELCDGIAD,Reserva de vuelo entre MEL y IAD con escala en CDG. Requiere un vuelo MELCDG y un vuelo CDGIAD,2066,2,21,1,-,1,20,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
MELCDGPEK,Reserva vuelo con escala MELCDGPEK,Reserva de vuelo entre MEL y PEK con escala en CDG. Requiere un vuelo MELCDG y un vuelo CDGPEK,2246,2,17,1,-,1,22,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
MELCDGFEZ,Reserva vuelo con escala MELCDGFEZ,Reserva de vuelo entre MEL y FEZ con escala en CDG. Requiere un vuelo MELCDG y un vuelo CDGFEZ,1667,2,60,1,-,1,16,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
MELPEKSCL,Reserva vuelo con escala MELPEKSCL,Reserva de vuelo entre MEL y SCL con escala en PEK. Requiere un vuelo MELPEK y un vuelo PEKSCL,2528,2,16,1,-,1,25,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
MELPEKIAD,Reserva vuelo con escala MELPEKIAD,Reserva de vuelo entre MEL y IAD con escala en PEK. Requiere un vuelo MELPEK y un vuelo PEKIAD,1819,2,19,1,-,1,18,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
MELPEKCDG,Reserva vuelo con escala MELPEKCDG,Reserva de vuelo entre MEL y CDG con escala en PEK. Requiere un vuelo MELPEK y un vuelo PEKCDG,1556,2,23,1,-,1,15,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
MELPEKFEZ,Reserva vuelo con escala MELPEKFEZ,Reserva de vuelo entre MEL y FEZ con escala en PEK. Requiere un vuelo MELPEK y un vuelo PEKFEZ,1704,2,21,1,-,1,16,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
MELFEZSCL,Reserva vuelo con escala MELFEZSCL,Reserva de vuelo entre MEL y SCL con escala en FEZ. Requiere un vuelo MELFEZ y un vuelo FEZSCL,2467,2,14,1,-,1,24,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
MELFEZIAD,Reserva vuelo con escala MELFEZIAD,Reserva de vuelo entre MEL y IAD con escala en FEZ. Requiere un vuelo MELFEZ y un vuelo FEZIAD,2126,2,20,1,-,1,20,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
MELFEZCDG,Reserva vuelo con escala MELFEZCDG,Reserva de vuelo entre MEL y CDG con escala en FEZ. Requiere un vuelo MELFEZ y un vuelo FEZCDG,1715,2,60,1,-,1,16,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
MELFEZPEK,Reserva vuelo con escala MELFEZPEK,Reserva de vuelo entre MEL y PEK con escala en FEZ. Requiere un vuelo MELFEZ y un vuelo FEZPEK,2442,2,15,1,-,1,23,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
PEKSCLIAD,Reserva vuelo con escala PEKSCLIAD,Reserva de vuelo entre PEK y IAD con escala en SCL. Requiere un vuelo PEKSCL y un vuelo SCLIAD,2434,2,17,1,-,1,24,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
PEKSCLCDG,Reserva vuelo con escala PEKSCLCDG,Reserva de vuelo entre PEK y CDG con escala en SCL. Requiere un vuelo PEKSCL y un vuelo SCLCDG,2759,2,13,1,-,1,27,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
PEKSCLMEL,Reserva vuelo con escala PEKSCLMEL,Reserva de vuelo entre PEK y MEL con escala en SCL. Requiere un vuelo PEKSCL y un vuelo SCLMEL,2729,2,13,1,-,1,27,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
PEKSCLFEZ,Reserva vuelo con escala PEKSCLFEZ,Reserva de vuelo entre PEK y FEZ con escala en SCL. Requiere un vuelo PEKSCL y un vuelo SCLFEZ,2623,2,14,1,-,1,26,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
PEKIADSCL,Reserva vuelo con escala PEKIADSCL,Reserva de vuelo entre PEK y SCL con escala en IAD. Requiere un vuelo PEKIAD y un vuelo IADSCL,1725,2,20,1,-,1,17,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
PEKIADCDG,Reserva vuelo con escala PEKIADCDG,Reserva de vuelo entre PEK y CDG con escala en IAD. Requiere un vuelo PEKIAD y un vuelo IADCDG,1561,2,24,1,-,1,15,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
PEKIADMEL,Reserva vuelo con escala PEKIADMEL,Reserva de vuelo entre PEK y MEL con escala en IAD. Requiere un vuelo PEKIAD y un vuelo IADMEL,2473,2,14,1,-,1,24,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
PEKIADFEZ,Reserva vuelo con escala PEKIADFEZ,Reserva de vuelo entre PEK y FEZ con escala en IAD. Requiere un vuelo PEKIAD y un vuelo IADFEZ,1573,2,23,1,-,1,15,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
PEKCDGSCL,Reserva vuelo con escala PEKCDGSCL,Reserva de vuelo entre PEK y SCL con escala en CDG. Requiere un vuelo PEKCDG y un vuelo CDGSCL,1787,2,20,1,-,1,17,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
PEKCDGIAD,Reserva vuelo con escala PEKCDGIAD,Reserva de vuelo entre PEK y IAD con escala en CDG. Requiere un vuelo PEKCDG y un vuelo CDGIAD,1298,2,28,1,-,1,12,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
PEKCDGMEL,Reserva vuelo con escala PEKCDGMEL,Reserva de vuelo entre PEK y MEL con escala en CDG. Requiere un vuelo PEKCDG y un vuelo CDGMEL,2246,2,17,1,-,1,22,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
PEKCDGFEZ,Reserva vuelo con escala PEKCDGFEZ,Reserva de vuelo entre PEK y FEZ con escala en CDG. Requiere un vuelo PEKCDG y un vuelo CDGFEZ,899,2,67,1,-,1,8,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
PEKMELSCL,Reserva vuelo con escala PEKMELSCL,Reserva de vuelo entre PEK y SCL con escala en MEL. Requiere un vuelo PEKMEL y un vuelo MELSCL,1835,2,19,1,-,1,18,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
PEKMELIAD,Reserva vuelo con escala PEKMELIAD,Reserva de vuelo entre PEK y IAD con escala en MEL. Requiere un vuelo PEKMEL y un vuelo MELIAD,2288,2,17,1,-,1,22,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
PEKMELCDG,Reserva vuelo con escala PEKMELCDG,Reserva de vuelo entre PEK y CDG con escala en MEL. Requiere un vuelo PEKMEL y un vuelo MELCDG,2324,2,16,1,-,1,23,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
PEKMELFEZ,Reserva vuelo con escala PEKMELFEZ,Reserva de vuelo entre PEK y FEZ con escala en MEL. Requiere un vuelo PEKMEL y un vuelo MELFEZ,2372,2,16,1,-,1,23,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
PEKFEZSCL,Reserva vuelo con escala PEKFEZSCL,Reserva de vuelo entre PEK y SCL con escala en FEZ. Requiere un vuelo PEKFEZ y un vuelo FEZSCL,1799,2,19,1,-,1,17,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
PEKFEZIAD,Reserva vuelo con escala PEKFEZIAD,Reserva de vuelo entre PEK y IAD con escala en FEZ. Requiere un vuelo PEKFEZ y un vuelo FEZIAD,1458,2,25,1,-,1,13,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
PEKFEZCDG,Reserva vuelo con escala PEKFEZCDG,Reserva de vuelo entre PEK y CDG con escala en FEZ. Requiere un vuelo PEKFEZ y un vuelo FEZCDG,1047,2,65,1,-,1,9,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
PEKFEZMEL,Reserva vuelo con escala PEKFEZMEL,Reserva de vuelo entre PEK y MEL con escala en FEZ. Requiere un vuelo PEKFEZ y un vuelo FEZMEL,2442,2,15,1,-,1,23,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
FEZSCLIAD,Reserva vuelo con escala FEZSCLIAD,Reserva de vuelo entre FEZ y IAD con escala en SCL. Requiere un vuelo FEZSCL y un vuelo SCLIAD,1635,2,21,1,-,1,16,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
FEZSCLCDG,Reserva vuelo con escala FEZSCLCDG,Reserva de vuelo entre FEZ y CDG con escala en SCL. Requiere un vuelo FEZSCL y un vuelo SCLCDG,1960,2,17,1,-,1,19,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
FEZSCLMEL,Reserva vuelo con escala FEZSCLMEL,Reserva de vuelo entre FEZ y MEL con escala en SCL. Requiere un vuelo FEZSCL y un vuelo SCLMEL,1930,2,17,1,-,1,19,"['13', '14', '15', '16', '17', '18', '19', '13', '14', '15', '16', '17', '18', '19']",14,producto final
FEZSCLPEK,Reserva vuelo con escala FEZSCLPEK,Reserva de vuelo entre FEZ y PEK con escala en SCL. Requiere un vuelo FEZSCL y un vuelo SCLPEK,2623,2,14,1,-,1,26,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
FEZIADSCL,Reserva vuelo con escala FEZIADSCL,Reserva de vuelo entre FEZ y SCL con escala en IAD. Requiere un vuelo FEZIAD y un vuelo IADSCL,1294,2,27,1,-,1,12,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
FEZIADCDG,Reserva vuelo con escala FEZIADCDG,Reserva de vuelo entre FEZ y CDG con escala en IAD. Requiere un vuelo FEZIAD y un vuelo IADCDG,1130,2,31,1,-,1,10,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
FEZIADMEL,Reserva vuelo con escala FEZIADMEL,Reserva de vuelo entre FEZ y MEL con escala en IAD. Requiere un vuelo FEZIAD y un vuelo IADMEL,2042,2,21,1,-,1,19,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
FEZIADPEK,Reserva vuelo con escala FEZIADPEK,Reserva de vuelo entre FEZ y PEK con escala en IAD. Requiere un vuelo FEZIAD y un vuelo IADPEK,1573,2,23,1,-,1,15,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
FEZCDGSCL,Reserva vuelo con escala FEZCDGSCL,Reserva de vuelo entre FEZ y SCL con escala en CDG. Requiere un vuelo FEZCDG y un vuelo CDGSCL,1208,2,63,1,-,1,11,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
